id,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,000001.SH,1990,93230,19509,53434,73887,18052,59322,80675,74131,8769
1,000001.SH,1991,101267,20228,50838,79768,15957,63930,75943,71282,9770
2,000001.SH,1992,98524,20951,52348,76955,19328,64882,78299,79216,10691
3,000001.SH,1993,91761,21098,49889,74127,16137,68704,75166,77120,11041
4,000001.SH,1994,93314,21360,46658,65963,14789,63742,70710,75024,12833
5,000001.SH,1995,87321,22603,53027,74257,9287,65593,67876,72371,11539
6,000001.SH,1996,103308,23513,43772,81889,7716,66780,77670,77854,12485
7,000001.SH,1997,99887,24271,42060,77988,8447,66525,80439,81063,14136
8,000001.SH,1998,108866,25117,40142,82846,8204,67927,80243,82767,15135
9,000001.SH,1999,131383,25741,41311,92404,10527,68101,86143,85432,15331
10,000001.SH,2000,113746,27068,54944,87973,16104,67261,89562,87642,16796
11,000001.SH,2001,107902,28309,54461,85762,18646,69870,90859,88950,18588
12,000001.SH,2002,122625,28752,48948,90270,20093,70236,88847,91266,19602
13,000001.SH,2003,105503,29833,53360,87981,20123,72509,86372,93394,21284
14,000001.SH,2004,116078,31413,41947,89853,20250,74603,91097,95847,21693
15,000001.SH,2005,111169,33143,38073,88135,20058,73219,87562,96376,24028
16,000001.SH,2006,135400,34974,23155,98504,18850,74596,91760,101567,26123
17,000001.SH,2007,121842,36911,26682,94173,20784,75448,96302,104655,28747
18,000001.SH,2008,134800,38403,19101,95466,21003,75231,97599,106798,32106
19,000001.SH,2009,127873,39699,24239,94627,21914,73690,96242,104513,31873
20,000001.SH,2010,140078,41646,22389,102962,17939,75931,97046,109145,34048
21,000001.SH,2011,141327,43192,23479,106378,18649,75804,102185,111812,35461
22,000001.SH,2012,151184,44653,19081,107611,18654,76229,108444,113171,36221
23,000001.SH,2013,153910,45324,25519,113519,19126,78400,108567,115931,36282
24,000001.SH,2014,150302,46474,28124,113976,22139,80142,115548,120028,39037
25,000001.SH,2015,156126,47349,24335,122858,23104,80119,116396,121378,40258
26,000001.SH,2016,162320,48334,18757,121761,23701,84088,121334,127632,42437
27,000001.SH,2017,163693,49686,19938,123587,23576,83161,119519,126063,43110
28,000001.SH,2018,172461,50245,21271,127949,23622,86149,126598,129947,44808
29,000001.SH,2019,165053,49982,25361,126963,25450,87064,131694,134944,46896
0,000001.SH,1990,93230,19509,53434,73887,18052,59322,80675,74131,8769
1,000001.SH,1991,101267,20228,50838,79768,15957,63930,75943,71282,9770
2,000001.SH,1992,98524,20951,52348,76955,19328,64882,78299,79216,10691
3,000001.SH,1993,91761,21098,49889,74127,16137,68704,75166,77120,11041
4,000001.SH,1994,93314,21360,46658,65963,14789,63742,70710,75024,12833
5,000001.SH,1995,87321,22603,53027,74257,9287,65593,67876,72371,11539
6,000001.SH,1996,103308,23513,43772,81889,7716,66780,77670,77854,12485
7,000001.SH,1997,99887,24271,42060,77988,8447,66525,80439,81063,14136
8,000001.SH,1998,108866,25117,40142,82846,8204,67927,80243,82767,15135
9,000001.SH,1999,131383,25741,41311,92404,10527,68101,86143,85432,15331
10,000001.SH,2000,113746,27068,54944,87973,16104,67261,89562,87642,16796
11,000001.SH,2001,107902,28309,54461,85762,18646,69870,90859,88950,18588
12,000001.SH,2002,122625,28752,48948,90270,20093,70236,88847,91266,19602
13,000001.SH,2003,105503,29833,53360,87981,20123,72509,86372,93394,21284
14,000001.SH,2004,116078,31413,41947,89853,20250,74603,91097,95847,21693
15,000001.SH,2005,111169,33143,38073,88135,20058,73219,87562,96376,24028
16,000001.SH,2006,135400,34974,23155,98504,18850,74596,91760,101567,26123
17,000001.SH,2007,121842,36911,26682,94173,20784,75448,96302,104655,28747
18,000001.SH,2008,134800,38403,19101,95466,21003,75231,97599,106798,32106
19,000001.SH,2009,127873,39699,24239,94627,21914,73690,96242,104513,31873
20,000001.SH,2010,140078,41646,22389,102962,17939,75931,97046,109145,34048
21,000001.SH,2011,141327,43192,23479,106378,18649,75804,102185,111812,35461
22,000001.SH,2012,151184,44653,19081,107611,18654,76229,108444,113171,36221
23,000001.SH,2013,153910,45324,25519,113519,19126,78400,108567,115931,36282
24,000001.SH,2014,150302,46474,28124,113976,22139,80142,115548,120028,39037
25,000001.SH,2015,156126,47349,24335,122858,23104,80119,116396,121378,40258
26,000001.SH,2016,162320,48334,18757,121761,23701,84088,121334,127632,42437
27,000001.SH,2017,163693,49686,19938,123587,23576,83161,119519,126063,43110
28,000001.SH,2018,172461,50245,21271,127949,23622,86149,126598,129947,44808
